Generation,Tick,Population,AvgAge,AvgHealth,AvgWealth,AvgFood,AvgStamina,AvgWater,InfraRoads,InfraHousing,InfraFarms,InfraStorage,TotalBirths,TotalDeaths
0,14013,4830,1982337.38,96.32,1430.22,171808.36,55.59,4.53,0.00,0.00,0.00,0.00,162,0
0,14343,4776,1983254.50,96.74,1448.89,170681.72,54.80,4.53,0.00,0.00,0.00,0.00,161,0
0,14640,4746,1985546.62,96.71,1469.31,170683.83,54.03,4.54,0.00,0.00,0.00,0.00,160,0
0,14970,4716,1985991.50,96.49,1494.51,170832.25,53.18,4.50,0.00,0.00,0.00,0.00,157,0
0,15300,4675,1988278.38,96.52,1521.73,169195.05,52.43,4.53,0.00,0.00,0.00,0.00,155,0
0,15630,4638,1989028.88,96.45,1543.95,168254.39,51.49,4.46,0.00,0.00,0.00,0.00,153,0
0,16026,4599,1991362.88,96.19,1573.27,170684.36,50.47,4.41,0.00,0.00,0.00,0.00,150,0
0,16290,4566,1992556.00,96.12,1586.54,172757.84,49.85,4.44,0.00,0.00,0.00,0.00,149,0
0,16620,4536,1994574.50,95.78,1605.06,175251.44,49.01,4.42,0.00,0.00,0.00,0.00,149,0
0,16884,4493,1994814.25,96.13,1618.65,173193.28,48.24,4.46,0.00,0.00,0.00,0.00,148,0
0,17082,4464,1995128.88,96.33,1629.31,172464.56,47.73,4.53,0.00,0.00,0.00,0.00,145,0
0,17280,4445,1995483.25,96.18,1644.56,172579.38,47.24,4.40,0.00,0.00,0.00,0.00,146,0
0,17577,4414,1995852.75,96.00,1657.91,173961.22,46.48,4.42,0.00,0.00,0.00,0.00,145,0
0,17775,4384,1996512.25,96.10,1662.13,173431.27,45.98,4.44,0.00,0.00,0.00,0.00,145,0
0,18039,4343,1996556.00,96.51,1672.19,171128.78,45.29,4.40,0.00,0.00,0.00,0.00,142,0
0,18336,4316,1996990.50,96.49,1697.60,170798.38,44.62,4.43,0.00,0.00,0.00,0.00,143,0
0,18666,4278,1997410.12,96.53,1705.91,169172.67,44.03,4.48,0.00,0.00,0.00,0.00,140,0
0,18930,4251,1996832.38,96.49,1720.53,169641.92,43.44,4.42,0.00,0.00,0.00,0.00,139,0
